,id,brand,category,rating,number_of_reviews,love,price,value_price,MarketingFlags,details,how_to_use,ingredients,online_only,exclusive
0,2218774,4,71,7.0,4,3002,66.0,75.0,1,1595,752,1,1,0
1,2044816,4,28,8.0,76,2700,66.0,66.0,1,374,15,0,1,0
2,1417567,4,119,8.0,26,2600,180.0,180.0,1,498,15,1,1,0
3,1417617,4,119,8.0,23,2900,120.0,120.0,1,556,15,0,1,0
4,2218766,4,71,6.0,2,943,72.0,80.0,1,1380,752,1,1,0
5,1417609,4,119,8.0,79,2600,180.0,180.0,1,549,15,0,1,0
6,1638832,4,119,8.0,79,5000,210.0,210.0,1,670,15,0,1,0
7,1284462,4,28,5.0,13,719,120.0,120.0,1,489,15,1,1,0
8,2221588,4,14,7.0,5,800,58.0,58.0,1,853,101,1,1,0
9,2221596,4,119,5.0,5,2100,58.0,58.0,1,1027,99,0,1,1
10,2243699,4,119,6.0,3,87,120.0,120.0,1,470,752,0,1,0
11,1417633,4,119,8.0,16,1900,120.0,120.0,0,449,15,0,0,0
12,1886621,4,119,8.0,19,2300,142.0,142.0,1,655,15,1,1,0
13,1417575,4,119,8.0,44,2900,120.0,120.0,1,521,15,0,1,0
14,2339661,4,119,0.0,0,143,275.0,275.0,1,272,752,0,1,0
15,2295228,4,71,7.0,1,594,80.0,95.0,1,1124,752,0,1,1
16,2044725,4,119,8.0,6,306,120.0,120.0,1,648,15,0,1,0
17,2222917,4,13,5.0,2,420,55.0,55.0,1,750,147,1,1,0
18,967224,4,17,6.0,7,400,50.0,50.0,1,462,15,1,1,0
19,1059500,4,28,7.0,20,584,120.0,120.0,1,941,15,1,1,0
20,2295210,4,120,5.0,1,211,113.0,143.0,1,969,752,0,1,0
21,2243715,4,119,5.0,1,250,70.0,70.0,1,470,752,1,1,0
22,1979608,4,119,8.0,5,396,120.0,120.0,1,738,15,1,1,0
23,2222909,4,13,5.0,2,444,55.0,55.0,1,711,148,1,1,0
24,1226885,4,119,8.0,34,1900,142.0,142.0,1,793,15,1,1,0
25,1915396,4,28,7.0,1,116,245.0,245.0,1,686,15,0,1,0
26,1775055,4,28,0.0,0,259,120.0,120.0,1,619,15,1,1,0
27,2295236,4,119,5.0,2,464,275.0,275.0,1,408,759,1,1,0
28,2295194,4,120,5.0,1,153,200.0,279.0,1,951,752,1,1,0
29,1629369,4,28,7.0,5,303,245.0,245.0,1,487,15,1,1,0
30,1915412,4,28,7.0,2,160,245.0,245.0,1,712,15,1,1,0
31,2295202,4,120,0.0,0,204,113.0,143.0,1,749,752,1,1,0
32,2295186,4,120,0.0,0,235,200.0,279.0,1,1099,752,0,1,0
33,2339703,4,119,0.0,0,165,275.0,275.0,1,363,752,1,1,0
34,2339687,4,119,0.0,0,122,275.0,275.0,1,383,752,1,1,0
35,1794585,1,119,7.0,91,8000,130.0,130.0,1,783,752,1,1,0
